MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 2.93% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 40.08% | TXL: 0.50% | RXL: 16.46% | INTL: 1.20% | Energy: 467657680
MONITORED: % | ON: 1.80% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 31.31% | TXL: 0.17% | RXL: 11.98% | INTL: 0.97% | Energy: 1415411840
MONITORED: % | ON: 1.57% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 28.48% | TXL: 0.12% | RXL: 10.60% | INTL: 0.87% | Energy: 2199082480
MONITORED: % | ON: 1.18% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 23.69% | TXL: 0.10% | RXL: 7.97% | INTL: 0.66% | Energy: 2549144720
MONITORED: % | ON: 1.40% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 24.01% | TXL: 0.11% | RXL: 8.28% | INTL: 0.65% | Energy: 3114465680
MONITORED: % | ON: 3.01% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 19.32% | TXL: 0.10% | RXL: 6.66% | INTL: 0.52% | Energy: 3407109520
MONITORED: % | ON: 4.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 16.04% | TXL: 0.10% | RXL: 5.52% | INTL: 0.43% | Energy: 3712196400
MONITORED: % | ON: 4.92% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 13.72% | TXL: 0.09% | RXL: 4.72% | INTL: 0.37% | Energy: 4017099440
MONITORED: % | ON: 5.51% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.01% | TXL: 0.09% | RXL: 4.13% | INTL: 0.32% | Energy: 4317154080
MONITORED: % | ON: 6.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.59% | TXL: 0.09% | RXL: 3.64% | INTL: 0.29% | Energy: 4644415360
MONITORED: % | ON: 6.35% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.57% | TXL: 0.08% | RXL: 3.28% | INTL: 0.26% | Energy: 4940521440
MONITORED: % | ON: 6.65% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 8.70% | TXL: 0.08% | RXL: 2.98% | INTL: 0.23% | Energy: 5245575680
MONITORED: % | ON: 6.90% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 7.97% | TXL: 0.08% | RXL: 2.73% | INTL: 0.21% | Energy: 5555525600
MONITORED: % | ON: 7.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 7.35% | TXL: 0.08% | RXL: 2.52% | INTL: 0.20% | Energy: 5862299760
MONITORED: % | ON: 7.21% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 7.06% | TXL: 0.08% | RXL: 2.42% | INTL: 0.19% | Energy: 6026957120
MONITORED: % | ON: 7.37% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.59% | TXL: 0.08% | RXL: 2.25% | INTL: 0.18% | Energy: 6330204320
MONITORED: % | ON: 7.52% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 6.16% | TXL: 0.08% | RXL: 2.10% | INTL: 0.17% | Energy: 6644454960
MONITORED: % | ON: 7.64% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.79% | TXL: 0.08% | RXL: 1.97% | INTL: 0.16% | Energy: 6953547760
MONITORED: % | ON: 7.76% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.47% | TXL: 0.07% | RXL: 1.86% | INTL: 0.15% | Energy: 7259231920
MONITORED: % | ON: 7.85% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 5.18% | TXL: 0.07% | RXL: 1.76% | INTL: 0.14% | Energy: 7565909520
MONITORED: % | ON: 7.94% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.92% | TXL: 0.07% | RXL: 1.67% | INTL: 0.13% | Energy: 7873349920
MONITORED: % | ON: 8.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.68% | TXL: 0.07% | RXL: 1.59% | INTL: 0.13% | Energy: 8176253200
MONITORED: % | ON: 8.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.47% | TXL: 0.07% | RXL: 1.52% | INTL: 0.12% | Energy: 8480329680
MONITORED: % | ON: 8.16% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.27% | TXL: 0.07% | RXL: 1.45% | INTL: 0.11% | Energy: 8792990400
MONITORED: % | ON: 8.22% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 4.10% | TXL: 0.07% | RXL: 1.39% | INTL: 0.11% | Energy: 9097833120
MONITORED: % | ON: 8.28% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.94% | TXL: 0.07% | RXL: 1.33% | INTL: 0.11% | Energy: 9391581040
MONITORED: % | ON: 8.33% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.79% | TXL: 0.07% | RXL: 1.28% | INTL: 0.10% | Energy: 9703352720
MONITORED: % | ON: 8.36% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.71% | TXL: 0.07% | RXL: 1.26% | INTL: 0.10% | Energy: 9867969440
MONITORED: % | ON: 8.40% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.58% | TXL: 0.07% | RXL: 1.21% | INTL: 0.10% | Energy: 10173309200
MONITORED: % | ON: 8.44% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.46% | TXL: 0.07% | RXL: 1.17% | INTL: 0.09% | Energy: 10471250720
MONITORED: % | ON: 8.48% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.34% | TXL: 0.07% | RXL: 1.13% | INTL: 0.09% | Energy: 10784250080
MONITORED: % | ON: 8.52% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.24% | TXL: 0.07% | RXL: 1.09% | INTL: 0.09% | Energy: 11091054960
MONITORED: % | ON: 8.55% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.14% | TXL: 0.07% | RXL: 1.06% | INTL: 0.08% | Energy: 11390173200
MONITORED: % | ON: 8.58% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 3.04% | TXL: 0.07% | RXL: 1.02% | INTL: 0.08% | Energy: 11693677600
MONITORED: % | ON: 8.62% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.96% | TXL: 0.07% | RXL: 0.99% | INTL: 0.08% | Energy: 11999316480
MONITORED: % | ON: 8.64% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.87% | TXL: 0.07% | RXL: 0.96% | INTL: 0.08% | Energy: 12311334080
MONITORED: % | ON: 8.67% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.79% | TXL: 0.07% | RXL: 0.94% | INTL: 0.07% | Energy: 12607924000
MONITORED: % | ON: 8.70% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.72% | TXL: 0.07% | RXL: 0.91% | INTL: 0.07% | Energy: 12925276480
MONITORED: % | ON: 8.72% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.65% | TXL: 0.07% | RXL: 0.89% | INTL: 0.07% | Energy: 13230862240
MONITORED: % | ON: 8.74% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.58% | TXL: 0.07% | RXL: 0.86% | INTL: 0.07% | Energy: 13534148800
MONITORED: % | ON: 8.76% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.55% | TXL: 0.07% | RXL: 0.85% | INTL: 0.07% | Energy: 13694515200
MONITORED: % | ON: 8.78% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.49% | TXL: 0.07% | RXL: 0.83% | INTL: 0.07% | Energy: 14002710560
MONITORED: % | ON: 8.80% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.43% | TXL: 0.07% | RXL: 0.81% | INTL: 0.06% | Energy: 14301582000
MONITORED: % | ON: 8.82% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.37% | TXL: 0.07% | RXL: 0.79% | INTL: 0.06% | Energy: 14610952400
MONITORED: % | ON: 8.83% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.32% | TXL: 0.07% | RXL: 0.77% | INTL: 0.06% | Energy: 14920779600
MONITORED: % | ON: 8.85% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.27% | TXL: 0.07% | RXL: 0.76% | INTL: 0.06% | Energy: 15226215040
MONITORED: % | ON: 8.87% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.22% | TXL: 0.07% | RXL: 0.74% | INTL: 0.06% | Energy: 15531896320
MONITORED: % | ON: 8.88% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.18% | TXL: 0.07% | RXL: 0.72% | INTL: 0.06% | Energy: 15846610480
MONITORED: % | ON: 8.90% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.13% | TXL: 0.07% | RXL: 0.71% | INTL: 0.06% | Energy: 16149305520
MONITORED: % | ON: 8.91% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.09% | TXL: 0.07% | RXL: 0.69% | INTL: 0.06% | Energy: 16450956000
MONITORED: % | ON: 8.93% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.05% | TXL: 0.07% | RXL: 0.68% | INTL: 0.05% | Energy: 16754812240
MONITORED: % | ON: 8.94% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 2.01% | TXL: 0.07% | RXL: 0.67% | INTL: 0.05% | Energy: 17068003680
MONITORED: % | ON: 8.95% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.97% | TXL: 0.07% | RXL: 0.65% | INTL: 0.05% | Energy: 17372667040
MONITORED: % | ON: 8.96% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.95% | TXL: 0.07% | RXL: 0.65% | INTL: 0.05% | Energy: 17580050000
MONITORED: % | ON: 8.97% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.92% | TXL: 0.07% | RXL: 0.64% | INTL: 0.05% | Energy: 17834799920
MONITORED: % | ON: 8.98% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.89% | TXL: 0.07% | RXL: 0.62% | INTL: 0.05% | Energy: 18150076560
MONITORED: % | ON: 8.99% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.85% | TXL: 0.07% | RXL: 0.61% | INTL: 0.05% | Energy: 18447339760
MONITORED: % | ON: 9.01% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.82% | TXL: 0.07% | RXL: 0.60% | INTL: 0.05% | Energy: 18754502000
MONITORED: % | ON: 9.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.79% | TXL: 0.07% | RXL: 0.59% | INTL: 0.05% | Energy: 19064369840
MONITORED: % | ON: 9.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.76% | TXL: 0.07% | RXL: 0.58% | INTL: 0.05% | Energy: 19377617440
MONITORED: % | ON: 9.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.73% | TXL: 0.07% | RXL: 0.57% | INTL: 0.05% | Energy: 19675558800
MONITORED: % | ON: 9.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.71% | TXL: 0.07% | RXL: 0.56% | INTL: 0.04% | Energy: 19988760800
MONITORED: % | ON: 9.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.68% | TXL: 0.07% | RXL: 0.55% | INTL: 0.04% | Energy: 20298121360
MONITORED: % | ON: 9.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.66% | TXL: 0.07% | RXL: 0.54% | INTL: 0.04% | Energy: 20604002320
MONITORED: % | ON: 9.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.63% | TXL: 0.07% | RXL: 0.54% | INTL: 0.04% | Energy: 20912037680
