MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 67.82% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 70.91% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10780000
MONITORED: % | ON: 2.35% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 36.35% | TXL: 0.43% | RXL: 14.06% | INTL: 0.65% | Energy: 420759280
MONITORED: % | ON: 1.43% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 27.20% | TXL: 0.14% | RXL: 9.51% | INTL: 0.57% | Energy: 1223943760
MONITORED: % | ON: 1.23% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 24.53% | TXL: 0.09% | RXL: 8.18% | INTL: 0.52% | Energy: 1884454480
MONITORED: % | ON: 0.93% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.71% | TXL: 0.07% | RXL: 6.15% | INTL: 0.41% | Energy: 2216560320
MONITORED: % | ON: 1.25% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.70% | TXL: 0.07% | RXL: 6.25% | INTL: 0.39% | Energy: 2688801120
MONITORED: % | ON: 2.90% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 16.63% | TXL: 0.06% | RXL: 5.02% | INTL: 0.31% | Energy: 2977866160
MONITORED: % | ON: 4.05% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 13.79% | TXL: 0.05% | RXL: 4.17% | INTL: 0.26% | Energy: 3280286320
MONITORED: % | ON: 4.87% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 11.78% | TXL: 0.04% | RXL: 3.56% | INTL: 0.22% | Energy: 3582970400
MONITORED: % | ON: 5.47% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 10.30% | TXL: 0.04% | RXL: 3.11% | INTL: 0.19% | Energy: 3880093440
MONITORED: % | ON: 5.97% | TX: 0.01% | RX: 0.00% | INT: 0.00% | ONL: 9.07% | TXL: 0.03% | RXL: 2.74% | INTL: 0.17% | Energy: 4203541600
