packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 16626368
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 delay: 24300320
packet id 007 loss!!!
packet id 008 delay: 30727104
packet id 009 delay: 16467464
packet id 010 loss!!!
packet id 011 delay: 1023040
packet id 012 delay: 1221640
packet id 013 delay: 1735576
packet id 014 delay: 928912
packet id 015 delay: 543384
packet id 016 delay: 782744
packet id 017 delay: 682384
packet id 018 delay: 645624
packet id 019 delay: 993984
packet id 020 delay: 628064
packet id 021 delay: 710160
packet id 022 delay: 1565416
packet id 023 delay: 2370840
packet id 024 delay: 651504
packet id 025 delay: 715024
packet id 026 delay: 844144
packet id 027 delay: 557504
packet id 028 delay: 1508744
packet id 029 delay: 676864
packet id 030 delay: 705464
packet id 031 delay: 1426584
packet id 032 delay: 686304
packet id 033 delay: 725984
packet id 034 delay: 794424
packet id 035 delay: 587904
packet id 036 delay: 636904
packet id 037 delay: 640304
packet id 038 delay: 648864
packet id 039 delay: 630624
packet id 040 delay: 1177272
packet id 041 delay: 528104
packet id 042 delay: 769864
packet id 043 loss!!!
packet id 044 loss!!!
packet id 045 delay: 727784
packet id 046 delay: 746824
packet id 047 delay: 755024
packet id 048 delay: 1942704
packet id 049 delay: 1044640
packet id 050 delay: 650984
packet id 051 delay: 564504
packet id 052 delay: 543464
packet id 053 delay: 1590744
packet id 054 delay: 715784
packet id 055 delay: 742664
packet id 056 delay: 431264
packet id 057 delay: 689304
packet id 058 delay: 617784
packet id 059 delay: 3177144
packet id 060 loss!!!
packet id 061 delay: 766184
packet id 062 delay: 638304
packet id 063 delay: 784744
packet id 064 delay: 1185648
packet id 065 delay: 751344
packet id 066 delay: 701264
packet id 067 delay: 1599584
packet id 068 delay: 644304
packet id 069 delay: 1656080
packet id 070 delay: 684984
packet id 071 delay: 726304
packet id 072 delay: 1173824
packet id 073 delay: 769864
packet id 074 delay: 672384
packet id 075 delay: 675624
packet id 076 delay: 598544
packet id 077 loss!!!
packet id 078 delay: 864824
packet id 079 delay: 626944
packet id 080 delay: 601824
packet id 081 delay: 1420336
packet id 082 delay: 755424
packet id 083 delay: 739144
packet id 084 delay: 433104
packet id 085 delay: 729464
packet id 086 delay: 752024
packet id 087 delay: 733464
packet id 088 delay: 747664
packet id 089 delay: 840504
packet id 090 delay: 741744
packet id 091 delay: 678704
packet id 092 delay: 711624
packet id 093 delay: 834144
packet id 094 delay: 570184
packet id 095 delay: 782064
packet id 096 delay: 683704
packet id 097 delay: 2433304
packet id 098 delay: 646984
packet id 099 delay: 643304
packet id 100 delay: 695064
packet id 101 delay: 589544
packet id 102 delay: 1027056
packet id 103 delay: 1071896
packet id 104 delay: 1607624
packet id 105 delay: 639984
packet id 106 loss!!!
packet id 107 delay: 639224
packet id 108 delay: 778064
packet id 109 delay: 1579744
packet id 110 delay: 749984
packet id 111 delay: 3228744
packet id 112 loss!!!
packet id 113 delay: 658424
packet id 114 loss!!!
packet id 115 delay: 762024
packet id 116 delay: 707024
packet id 117 delay: 1945864
packet id 118 delay: 699264
packet id 119 delay: 742344
packet id 120 delay: 621944
packet id 121 delay: 625104
packet id 122 delay: 715104
packet id 123 delay: 622944
packet id 124 delay: 622384
packet id 125 delay: 755024
packet id 126 delay: 1102888
packet id 127 delay: 742560
packet id 128 delay: 1264024
packet id 129 delay: 792504
packet id 130 delay: 1280704
packet id 131 delay: 888680
packet id 132 delay: 720304
packet id 133 delay: 654184
packet id 134 delay: 823224
packet id 135 delay: 596384
packet id 136 delay: 612104
packet id 137 delay: 772704
packet id 138 delay: 745824
packet id 139 loss!!!
packet id 140 delay: 696664
packet id 141 delay: 754064
packet id 142 delay: 661704
packet id 143 delay: 1755984
packet id 144 delay: 645904
packet id 145 delay: 583864
packet id 146 delay: 602224
packet id 147 delay: 846824
packet id 148 delay: 682304
packet id 149 delay: 1692024
packet id 150 delay: 591824
packet id 151 delay: 733024
packet id 152 delay: 1323064
packet id 153 loss!!!
packet id 154 delay: 627944
packet id 155 delay: 744744
packet id 156 delay: 708424
packet id 157 delay: 656664
packet id 158 delay: 755024
packet id 159 delay: 799784
packet id 160 loss!!!
packet id 161 delay: 705944
packet id 162 delay: 1600544
packet id 163 delay: 743144
packet id 164 delay: 604904
packet id 165 loss!!!
packet id 166 loss!!!
packet id 167 delay: 819024
packet id 168 delay: 589544
packet id 169 delay: 598504
packet id 170 delay: 674704
packet id 171 delay: 688224
packet id 172 delay: 774784
packet id 173 delay: 719184
packet id 174 delay: 555144
packet id 175 delay: 1377320
packet id 176 delay: 538784
packet id 177 delay: 774384
packet id 178 delay: 602824
packet id 179 delay: 2448864
packet id 180 delay: 768104
packet id 181 delay: 694664
packet id 182 delay: 724784
packet id 183 delay: 649904
packet id 184 delay: 670024
packet id 185 delay: 1671760
packet id 186 delay: 702744
packet id 187 delay: 790424
packet id 188 loss!!!
packet id 189 delay: 645504
packet id 190 delay: 921784
packet id 191 loss!!!
packet id 192 delay: 865584
packet id 193 delay: 653584
packet id 194 delay: 1595984
packet id 195 delay: 787744
packet id 196 delay: 512080
packet id 197 delay: 661344
packet id 198 delay: 2359568
packet id 199 delay: 666624
packet id 200 delay: 817864
packet id 201 delay: 674624
packet id 202 delay: 717224
packet id 203 delay: 639304
packet id 204 loss!!!
packet id 205 delay: 696664
packet id 206 delay: 741664
packet id 207 delay: 829664
packet id 208 delay: 654880
packet id 209 delay: 739664
packet id 210 delay: 638304
packet id 211 delay: 599984
packet id 212 delay: 846504
packet id 213 delay: 755704
packet id 214 delay: 714624
packet id 215 delay: 723304
packet id 216 delay: 998944
packet id 217 loss!!!
packet id 218 delay: 912624
packet id 219 delay: 1077184
packet id 220 loss!!!
packet id 221 delay: 704744
packet id 222 delay: 653264
packet id 223 delay: 734264
packet id 224 delay: 733664
packet id 225 delay: 691584
packet id 226 delay: 547344
packet id 227 delay: 679624
packet id 228 delay: 518424
packet id 229 delay: 774864
packet id 230 delay: 721624
packet id 231 delay: 445464
packet id 232 delay: 989840
packet id 233 delay: 706944
packet id 234 delay: 659024
packet id 235 delay: 853264
packet id 236 delay: 730824
packet id 237 delay: 1087664
packet id 238 delay: 2060384
packet id 239 delay: 683704
packet id 240 delay: 639304
packet id 241 delay: 713984
