packet id 001 loss!!!
packet id 002 delay: 7769120
packet id 003 delay: 780520
packet id 004 delay: 838784
packet id 005 delay: 875312
packet id 006 delay: 811104
packet id 007 loss!!!
packet id 008 delay: 916200
packet id 009 delay: 737064
packet id 010 delay: 6233984
packet id 011 loss!!!
packet id 012 delay: 761896
packet id 013 delay: 856464
packet id 014 delay: 925992
packet id 015 loss!!!
packet id 016 delay: 1908792
packet id 017 delay: 861936
packet id 018 delay: 932464
packet id 019 delay: 6225784
packet id 020 delay: 1162352
packet id 021 delay: 949520
packet id 022 delay: 1050352
packet id 023 delay: 2724528
packet id 024 delay: 781032
packet id 025 delay: 841200
packet id 026 delay: 843464
packet id 027 delay: 859728
packet id 028 delay: 774992
packet id 029 delay: 927992
packet id 030 delay: 995616
packet id 031 delay: 938952
packet id 032 delay: 771464
packet id 033 loss!!!
packet id 034 delay: 847784
packet id 035 delay: 874200
packet id 036 delay: 997936
packet id 037 delay: 1218032
packet id 038 delay: 968008
packet id 039 delay: 884360
packet id 040 delay: 815272
packet id 041 delay: 948200
packet id 042 delay: 1069880
packet id 043 delay: 886200
packet id 044 delay: 1967360
packet id 045 delay: 1026344
packet id 046 delay: 952104
packet id 047 delay: 1606064
packet id 048 delay: 2316464
packet id 049 delay: 3864192
packet id 050 delay: 5124896
packet id 051 delay: 1049216
packet id 052 delay: 936936
packet id 053 delay: 2747736
packet id 054 delay: 1449784
packet id 055 delay: 907088
packet id 056 delay: 1215848
packet id 057 delay: 819312
packet id 058 delay: 873048
packet id 059 delay: 2755264
packet id 060 delay: 899144
packet id 061 delay: 1736240
packet id 062 delay: 1136352
packet id 063 delay: 946200
packet id 064 delay: 1183152
packet id 065 delay: 1253752
packet id 066 delay: 2901840
packet id 067 loss!!!
packet id 068 delay: 1728328
packet id 069 delay: 890256
packet id 070 delay: 832160
packet id 071 delay: 810288
packet id 072 loss!!!
packet id 073 delay: 905256
packet id 074 delay: 787216
packet id 075 loss!!!
packet id 076 delay: 850672
packet id 077 delay: 900312
packet id 078 delay: 3480832
packet id 079 delay: 863256
packet id 080 delay: 1292616
packet id 081 delay: 957144
packet id 082 delay: 1669168
packet id 083 delay: 944352
packet id 084 delay: 868200
packet id 085 delay: 888048
packet id 086 delay: 763256
packet id 087 delay: 888200
packet id 088 delay: 1757120
packet id 089 delay: 1461160
packet id 090 delay: 862256
packet id 091 loss!!!
packet id 092 delay: 890312
packet id 093 delay: 954936
packet id 094 delay: 658064
packet id 095 delay: 647952
packet id 096 delay: 1320768
packet id 097 delay: 831464
packet id 098 delay: 970936
packet id 099 delay: 783104
packet id 100 delay: 7646064
packet id 101 delay: 1221968
packet id 102 delay: 846464
packet id 103 delay: 1194496
packet id 104 delay: 889144
packet id 105 delay: 3265352
packet id 106 delay: 761064
packet id 107 delay: 611176
packet id 108 delay: 892672
packet id 109 delay: 812952
packet id 110 delay: 1082840
packet id 111 delay: 1756392
packet id 112 delay: 918672
packet id 113 delay: 941936
packet id 114 delay: 1014088
packet id 115 loss!!!
packet id 116 delay: 971992
packet id 117 delay: 945936
packet id 118 delay: 965352
packet id 119 delay: 961688
packet id 120 delay: 932464
packet id 121 delay: 1236616
packet id 122 delay: 3467848
packet id 123 delay: 1921064
packet id 124 delay: 1075728
packet id 125 delay: 2431032
packet id 126 loss!!!
packet id 127 delay: 1101032
packet id 128 loss!!!
packet id 129 delay: 1801632
packet id 130 delay: 806048
packet id 131 delay: 860200
packet id 132 delay: 895144
packet id 133 delay: 3271840
packet id 134 delay: 930936
packet id 135 delay: 911880
packet id 136 delay: 818896
packet id 137 delay: 995712
packet id 138 delay: 870936
packet id 139 delay: 878144
packet id 140 delay: 1091080
packet id 141 delay: 2494816
packet id 142 delay: 941040
packet id 143 delay: 846160
packet id 144 delay: 1090072
packet id 145 delay: 829200
